Resolution,Radius,Transmission
15,0.075,0.9985977519318913
15,0.1,0.9929564246443199
15,0.125,0.9669682472569919
15,0.15,0.8684236811134604
15,0.175,0.8261264459912917
15,0.2,0.836964052701676
15,0.225,0.8026193553854505
15,0.25,0.7460146171205201
20,0.075,0.9983479821614372
20,0.1,0.9940755045083105
20,0.125,0.9714277409592126
20,0.15,0.878490733985495
20,0.175,0.8337315679205831
20,0.2,0.8516098074552432
20,0.225,0.806870103485199
20,0.25,0.7367347453500068
30,0.075,0.9985783960151832
30,0.1,0.9938212094077138
30,0.125,0.9709631475546948
30,0.15,0.8811999535978787
30,0.175,0.838294865072084
30,0.2,0.854125307305641
30,0.225,0.8018257678622445
30,0.25,0.7780489894682412
40,0.075,0.9986003763344846
40,0.1,0.9940136558981154
40,0.125,0.9713996708836098
40,0.15,0.8820332549280953
40,0.175,0.8365100535510669
40,0.2,0.8559454583411542
40,0.225,0.805569105605003
40,0.25,0.7851336229506644
50,0.075,0.9985731426140847
50,0.1,0.9938022204845967
50,0.125,0.9710704170540746
50,0.15,0.8817782270080698
50,0.175,0.8387506295197261
50,0.2,0.8561039389818134
50,0.225,0.8031179183657673
50,0.25,0.791707480125913
60,0.075,0.998599697930002
60,0.1,0.9937648499134015
60,0.125,0.9710289323457562
60,0.15,0.8819874536233202
60,0.175,0.8396589116595524
60,0.2,0.8559839135443457
60,0.225,0.8013008253709909
60,0.25,0.7931701164496018
70,0.075,0.9985879078145592
70,0.1,0.9938488720201665
70,0.125,0.971198949740641
70,0.15,0.8822012584213763
70,0.175,0.838008695456177
70,0.2,0.8565084764386599
70,0.225,0.8030021324811729
70,0.25,0.7927549516387692
80,0.075,0.998587924027988
80,0.1,0.9937775945610966
80,0.125,0.9710617909071152
80,0.15,0.8820265265936216
80,0.175,0.8390455447788396
80,0.2,0.8563331500227348
80,0.225,0.8018293789325057
80,0.25,0.7943496117770942
90,0.075,0.9985889759663372
90,0.1,0.9938425780352255
90,0.125,0.9711426852679234
90,0.15,0.8820497003172519
90,0.175,0.8378903819838343
90,0.2,0.856599074005305
90,0.225,0.8032751056807351
90,0.25,0.7941197730722931
100,0.075,0.9985884780876859
100,0.1,0.9937759904583207
100,0.125,0.9710483445783618
100,0.15,0.8820348741855185
100,0.175,0.8386873914266957
100,0.2,0.8564317612292283
100,0.225,0.8023993025307095
100,0.25,0.794599741101229
110,0.075,0.9985951368679733
110,0.1,0.9937363257665569
110,0.125,0.9708639909336674
110,0.15,0.8818157551707109
110,0.175,0.8396308188401027
110,0.2,0.8561077667089061
110,0.225,0.8015147397731007
110,0.25,0.7958116809958035
120,0.075,0.9985961251415907
120,0.1,0.9938152518070542
120,0.125,0.971130448774931
120,0.15,0.8821211556403274
120,0.175,0.8383900333529918
120,0.2,0.8566625344408465
120,0.225,0.8026324260995142
120,0.25,0.794964100544693
